GRUPO;NOMBRE GIRA;AÑO;MES;MERCADO;PAÍS;CIUDAD;RECINTO;CAPACIDAD;ENTRADA MÁS BARATA;ENTRADA MÁS CARA
SHINee;"4th Japan Tour SHINee World ""DxDxD""";2016;4;Japón;Japón;Hokkaidō;Hokkaido Prefecture Sports Center;8000; Sin datos ; Sin datos 
SHINee;"4th Japan Tour SHINee World ""DxDxD""";2016;5;Japón;Japón;Osaka;Kyocera Dome;55000; Sin datos ; Sin datos 
SHINee;"4th Japan Tour SHINee World ""DxDxD""";2016;5;Japón;Japón;Tokio;Tokyo Dome;55000; Sin datos ; Sin datos 
SHINee;"SHINee Concert ""SHINee World V"" ";2016;9;Corea del Sur;Corea del Sur;Seúl;Olympic Gymnastics Arena;15000; Sin datos ; Sin datos 
SHINee;"SHINee Concert ""SHINee World V"" ";2016;11;Sudeste asiático;Indonesia;Yakarta;Jakarta internacional Expo;7000; Sin datos ; Sin datos 
SHINee;"SHINee Concert ""SHINee World V"" ";2016;12;Japón;Japón;Yokohama;Yokohama Arena;17000; Sin datos ; Sin datos 
SHINee;"SHINee Concert ""SHINee World V"" ";2017;3;América del Norte;Canadá;Toronto;Sony Centre;3191; Sin datos ; Sin datos 
SHINee;"SHINee Concert ""SHINee World V"" ";2017;3;América del Norte;Canadá;Vancouver;The Orpheum;2780; Sin datos ; Sin datos 
Stray Kids;" 2nd World Tour ""Maniac""";2023;3;Estados Unidos;Estados Unidos;Atlanta;State Farm Arena;16500;50;320
Stray Kids;" 2nd World Tour ""Maniac""";2023;3;Estados Unidos;Estados Unidos;Atlanta;State Farm Arena;16500;50;320
SHINee;"SHINee Concert ""SHINee World V"" ";2017;5;China;China;Hong Kong;Asian World Expo Arena;14000; Sin datos ; Sin datos 
SHINee;"SHINee Concert ""SHINee World V"" ";2017;6;China;Taiwán;Taipéi;Xinzhuang Gymnasium;7125; Sin datos ; Sin datos 
SHINee;"SHINee Concert ""SHINee World V"" ";2017;6;Sudeste asiático;Tailandia;Bangkok;Thunder Dome;15000; Sin datos ; Sin datos 
SHINee;"5th Japan Tour SHINee World ""Five""";2017;1;Japón;Japón;Prefectura de Fukui;Sun Dome;10411; Sin datos ; Sin datos 
SHINee;"5th Japan Tour SHINee World ""Five""";2017;2;Japón;Japón;Prefectura de Hyōgo;Kobe World Memorial Hall;8000; Sin datos ; Sin datos 
SHINee;"5th Japan Tour SHINee World ""Five""";2017;2;Japón;Japón;Fukuoka;Marinne Messe;13000; Sin datos ; Sin datos 
SHINee;"5th Japan Tour SHINee World ""Five""";2017;2;Japón;Japón;Osaka;Osaka Jo-Hall;16000; Sin datos ; Sin datos 
SHINee;"5th Japan Tour SHINee World ""Five""";2017;3;Japón;Japón;Prefectura de Shizuoka;Shizuoka EcoPa Arena;10000; Sin datos ; Sin datos 
SHINee;"5th Japan Tour SHINee World ""Five""";2017;3;Japón;Japón;Tokio;Yoyogi National Gymnasium;13,291; Sin datos ; Sin datos 
SHINee;"5th Japan Tour SHINee World ""Five""";2017;4;Japón;Japón;Prefectura de Aichi;Nippon Gaishi Hall;10000; Sin datos ; Sin datos 
SHINee;"5th Japan Tour SHINee World ""Five""";2017;4;Japón;Japón;Osaka;Osaka Jo-Hall;16000; Sin datos ; Sin datos 
SHINee;"5th Japan Tour SHINee World ""Five""";2017;4;Japón;Japón;Saitama;Saitama Super Arena;365000; Sin datos ; Sin datos 
SHINee;"5th Japan Tour SHINee World ""Five""";2017;4;Japón;Japón;Hokkaidō;Hokkaido Prefecture Sports Center;8000; Sin datos ; Sin datos 
SHINee;"5th Japan Tour SHINee World ""Five""";2017;4;Japón;Japón;Hiroshima;Hiroshima Green Arena;10000; Sin datos ; Sin datos 
SHINee;"5th Japan Tour SHINee World ""Five""";2017;4;Japón;Japón;Tokio;Yoyogi National Gymnasium;13,291; Sin datos ; Sin datos 
SHINee;"SHINee World ""Five"" Special Edition";2017;9;Japón;Japón;Tokio;Tokyo Dome;55000; Sin datos ; Sin datos 
SHINee;"SHINee World ""Five"" Special Edition";2017;9;Japón;Japón;Osaka;Kyocera Dome;55000; $86,00 ; Sin datos 
SHINee;"SHINee World The Best 2018 ""From Now On""";2018;2;Japón;Japón;Osaka;Kyocera Dome;55000; $86,00 ; Sin datos 
SHINee;"SHINee World The Best 2018 ""From Now On""";2018;2;Japón;Japón;Tokio;Tokyo Dome;55000; $86,00 ; Sin datos 
Stray Kids;" 2nd World Tour ""Maniac""";2023;3;Estados Unidos;Estados Unidos;Fort Worth;Dickies Arena;14000;50;320
Stray Kids;" 2nd World Tour ""Maniac""";2023;3;Estados Unidos;Estados Unidos;Fort Worth;Dickies Arena;14000;50;320
Stray Kids;" 2nd World Tour ""Maniac""";2023;3;Estados Unidos;Estados Unidos;Los Ángeles;BMO Stadium;22000;50;320
Stray Kids;" 2nd World Tour ""Maniac""";2023;4;Estados Unidos;Estados Unidos;Los Ángeles;BMO Stadium;22000;50;320
Stray Kids;5-STAR Dome Tour;2023;8;Japón;Japón;Fukuoka;PayPay Dome;40000;68;106
Stray Kids;5-STAR Dome Tour;2023;8;Japón;Japón;Fukuoka;PayPay Dome;40000;68;106
Stray Kids;5-STAR Dome Tour;2023;9;Japón;Japón;Nagoya;Vantelin Dome;49000;68;106
Stray Kids;5-STAR Dome Tour;2023;9;Japón;Japón;Nagoya;Vantelin Dome;49000;68;106
Stray Kids;5-STAR Dome Tour;2023;9;Japón;Japón;Osaka;Kyocera Dome;36418;68;106
Stray Kids;5-STAR Dome Tour;2023;9;Japón;Japón;Osaka;Kyocera Dome;36418;68;106
Stray Kids;5-STAR Dome Tour;2023;10;Japón;Japón;Tokio;Tokyo Dome;55000;68;106
Stray Kids;5-STAR Dome Tour;2023;10;Japón;Japón;Tokio;Tokyo Dome;55000;68;106
