GRUPO;NOMBRE GIRA;AÑO;MES;MERCADO;PAÍS;CIUDAD;RECINTO;CAPACIDAD;ENTRADA MÁS BARATA;ENTRADA MÁS CARA
TWICE;"TWICE 5th World Tour ""Ready To Be""";2024;2;México;México;Ciudad de México;Foro Sol;65000;25;245
TWICE;"TWICE 5th World Tour ""Ready To Be""";2024;2;Brasil;Brasil;Sao Paulo;Allianz Parque;43713;81;161
TWICE;"TWICE 5th World Tour ""Ready To Be"" Japan Special";2024;7;Japón ;Japón;Osaka;Yanmar Stadium Nagai;50000;91;160
TWICE;"TWICE 5th World Tour ""Ready To Be"" Japan Special";2024;7;Japón ;Japón;Tokio;Ajinomoto Stadium;48013;91;160
TWICE;"TWICE 5th World Tour ""Ready To Be"" Japan Special";2024;7;Japón ;Japón;Yokohama;Nissan Stadium;72327;91;160
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2024;1;Sudeste Asiático;Filipinas;Bucalán;Philippine Sports Stadium;20000;80;335
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2024;1;China;China ;Macao;Olympic Sports Center Stadium;102,97;103;348
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2024;3;Corea del Sur;Corea del Sur;Incheon;Incheon Asiad Main Stadium;30000;100;150
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2024;4;Corea del Sur;Corea del Sur;Seúl;Seoul World Cup Stadium;66704;92;139
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2024;5;Japón ;Japón;Osaka;Yanmar Stadium Nagai;47816;105;189
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2024;5;Japón ;Japón;Kanagawa;Nissan Stadium;69143;105;189
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;10;Corea del Sur;Corea del Sur;Goyang;Goyang Stadium;44311;92;139
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;10;Estados Unidos ;Estados Unidos;Rosemont;Allstate Arena;16272;60;550
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;10;Estados Unidos ;Estados Unidos;Belmont Park;UBS Arena;19000;80;550
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;10;Estados Unidos ;Estados Unidos;San Antonio;Frost Bank Center;19000;60;550
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;11;Estados Unidos ;Estados Unidos;Oakland;Oakland Arena;19200;85;550
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;11;Estados Unidos ;Estados Unidos;Los Ángeles;BMO Stadium ;22000;80;550
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;11;Japón ;Japón;Nagoya;Vantelin Dome ;50619;119;175
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;12;Japón ;Japón;Tokio;Tokyo Dome;55000;119;175
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;12;Japón ;Japón;Osaka;Kyocera Dome Osaka;55000;119;175
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;12;Japón ;Japón;Fukoaka;Mizuho Paypay Dome;47500;119;175
ARTMS;Lunar Theory in Korea;2025;3;Corea del Sur;Corea del Sur;Seúl;Ewha Womans Univ. Samsung Hall;2800;92;92
ARTMS;Lunar Theory in Korea;2025;3;Corea del Sur;Corea del Sur;Seúl;Ewha Womans Univ. Samsung Hall;2800;92;92
ARTMS;Lunar Theory in US;2025;3;Estados Unidos;Estados Unidos;Chicago;Copernicus Center;1852;60;190
ARTMS;Lunar Theory in US;2025;3;Estados Unidos;Estados Unidos;Indianápolis;Egyptian Room;2000;60;190
ARTMS;Lunar Theory in US;2025;4;Estados Unidos;Estados Unidos;Detroit;The Fillmore;1315;60;190
ARTMS;Lunar Theory in US;2025;4;Estados Unidos;Estados Unidos;Nueva York;Town Hall;1500;60;190
ARTMS;Lunar Theory in US;2025;4;Estados Unidos;Estados Unidos;Richmond;Dominion Energy Center;1800;60;190
ARTMS;Lunar Theory in US;2025;4;Estados Unidos;Estados Unidos;San Petersburgo;Mahaffey Theater;2031;60;190
ARTMS;Lunar Theory in US;2025;4;Estados Unidos;Estados Unidos;Houston;Bayou Music Center;3000;60;190
ARTMS;Lunar Theory in US;2025;4;Estados Unidos;Estados Unidos;Los Ángeles;Wilshire Ebell Theatre;1270;60;190
ARTMS;Lunar Theory in US;2025;4;Estados Unidos;Estados Unidos;San Francisco;Palace of Fine Arts;5000;60;190
ARTMS;Lunar Theory in US;2025;4;Estados Unidos;Estados Unidos;Tacoma;Pantages Theatre;2703;60;190
ARTMS;Lunar Theory in US;2025;4;América del Norte;Canadá;Vancouver;Vogue Theatre;1280;60;190
ARTMS;Lunar Theory in Europe;2025;5;Europa;Inglaterra;Londres;Troxy;3100;55;110
ARTMS;Lunar Theory in Europe;2025;5;Europa;Países Bajos;Eindhoven;Effenaar;1300;55;88
ARTMS;Lunar Theory in Europe;2025;5;Europa;Francia;París;ASalle Pleyel;2000;55;110
ARTMS;Lunar Theory in Europe;2025;5;Europa;Italia;Milán;Santeria Toscana;560;55;110
ARTMS;Lunar Theory in Europe;2025;5;Europa;Dinamarca;Copenhague;Amager Bio;1000;55;110
ARTMS;Lunar Theory in Europe;2025;5;Europa;Polonia ;Varsovia;Progresja;2000;55;110
Stray Kids;DominATE Tour;2025;1;China;Hong Kong;Hong Kong;AsiaWorld–Arena;14000;90;250
Stray Kids;DominATE Tour;2025;3;América Latina;Chile;Santiago de Chile;Estadio Bicentenario de La Florida;11376;70;330
Stray Kids;DominATE Tour;2025;3;América Latina;Chile;Santiago de Chile;Estadio Bicentenario de La Florida;11376;70;330
Stray Kids;DominATE Tour;2025;4;Brasil;Brasil;Río de Janeiro;Estadio Nilton Santos;60000;78;457
Stray Kids;DominATE Tour;2025;4;Brasil;Brasil;São Paulo;Estadio MorumBIS;72039;78;457
Stray Kids;DominATE Tour;2025;4;Brasil;Brasil;São Paulo;Estadio MorumBIS;72039;78;457
Stray Kids;DominATE Tour;2025;4;América Latina;Perú;Lima;Estadio San Marcos;32000;56;184
Stray Kids;DominATE Tour;2025;4;México;México;Ciudad de México;Estadio GNP Seguros;37500;50;180
Stray Kids;DominATE Tour;2025;4;México;México;Ciudad de México;Estadio GNP Seguros;37500;50;180
Stray Kids;DominATE Tour;2025;5;Japón;Japón;Fukuroi;Estadio Shizuoka ECOPA;50889;107;107
Stray Kids;DominATE Tour;2025;5;Japón;Japón;Fukuroi;Estadio Shizuoka ECOPA;50889;107;107
Stray Kids;DominATE Tour;2025;5;Japón;Japón;Fukuroi;Estadio Shizuoka ECOPA;50889;107;107
Stray Kids;DominATE Tour;2025;5;Japón;Japón;Fukuroi;Estadio Shizuoka ECOPA;50889;107;107
Stray Kids;DominATE Tour;2025;5;Estados Unidos;Estados Unidos;Seattle;Parque T-Mobile;47929;44;230
Stray Kids;DominATE Tour;2025;5;Estados Unidos;Estados Unidos;San Francisco;Parque Oracle;40800;35;230
Stray Kids;DominATE Tour;2025;5;Estados Unidos;Estados Unidos;Inglewood;Estadio SoFi;70240;51;230
Stray Kids;DominATE Tour;2025;6;Estados Unidos;Estados Unidos;Inglewood;Estadio SoFi;70240;51;230
Stray Kids;DominATE Tour;2025;6;Estados Unidos;Estados Unidos;Condado de Arlington;Campo de vida del globo;40300;61;230
Stray Kids;DominATE Tour;2025;6;Estados Unidos;Estados Unidos;Condado de Arlington;Campo de vida del globo;40300;61;230
Stray Kids;DominATE Tour;2025;6;Estados Unidos;Estados Unidos;Cumberland;Parque Truist;41149;65;230
Stray Kids;DominATE Tour;2025;6;Estados Unidos;Estados Unidos;Orlando;Estadio Camping World;65000;73;225
Stray Kids;DominATE Tour;2025;6;Estados Unidos;Estados Unidos;Nueva York;Citi Field;41922;29;230
Stray Kids;DominATE Tour;2025;6;Estados Unidos;Estados Unidos;Nueva York;Citi Field;41922;29;230
Stray Kids;DominATE Tour;2025;6;Estados Unidos;Estados Unidos;Washington D. C.;Parque Nacional;41373;64;230
Stray Kids;DominATE Tour;2025;6;Estados Unidos;Estados Unidos;Chicago;Campo Wrigley;41200;175;230
Stray Kids;DominATE Tour;2025;6;América del Norte;Canadá;Toronto;Estadio Rogers;49115;66;230
Stray Kids;DominATE Tour;2025;7;Europa;Países Bajos;Ámsterdam;Estadio Johan Cruijff;55000;134;743
Stray Kids;DominATE Tour;2025;7;Europa;Alemania;Fráncfort del Meno;Parque del Deutsche Bank;58000;426;609
Stray Kids;DominATE Tour;2025;7;Europa;Inglaterra;Londres;Estadio del Tottenham Hotspur;62850;131;161
Stray Kids;DominATE Tour;2025;7;Europa;Inglaterra;Londres;Estadio del Tottenham Hotspur;62850;131;161
Stray Kids;DominATE Tour;2025;7;Europa;España;Madrid;Riad Air Metropolitano;68456;110;621
Stray Kids;DominATE Tour;2025;7;Europa;España;Madrid;Riad Air Metropolitano;68456;110;621
Stray Kids;DominATE Tour;2025;7;Europa;Francia;Saint-Denis;Estadio de Francia;80000;94;230
Stray Kids;DominATE Tour;2025;7;Europa;Francia;Saint-Denis;Estadio de Francia;80000;94;230
Stray Kids;DominATE Tour;2025;7;Europa;Italia;Roma;Estadio Olímpico;70000;84;519
aespa;"2nd Live Tour ""Synk: Parallel Line""";2025;2;México;México;Ciudad de México;Palacio de los Deportes;20000;76;311
aespa;"2nd Live Tour ""Synk: Parallel Line""";2025;3;Corea del Sur;Corea del Sur;Seúl;KSPO Dome;15000;113;145
aespa;"2nd Live Tour ""Synk: Parallel Line""";2025;3;Corea del Sur;Corea del Sur;Seúl;KSPO Dome;15000;113;145
Super Junior;Super Junior-D&E World Tour: ECLIPSE;2025;1;Sudeste asiático;Malasia;Kuala Lumpur;Mega Star Arena;5000;82;196
SHINee;SHINee WORLD Ⅶ [E.S.S.A.Y];2025;5;Corea del Sur;Corea del Sur;Seúl;Olympic Gymnastics Arena;15000;113;145
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2025;1;Sudeste Asiático;Singapur;Singapur;National Stadium;55000;128;295
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2025;2;Japón ;Japón;Jakarta;Jakarta International Stadium;82000;119;175
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2025;2;Sudeste Asiático;Tailandia ;Bangkok;Rajamangala National Stadium;51552;83;277
