GRUPO,NOMBRE GIRA,AÑO,MES,MERCADO,PAÍS,CIUDAD,RECINTO,CAPACIDAD,ENTRADA MÁS BARATA,ENTRADA MÁS CARA
BTS,"BTS 1st Japan Tour ""Wake Up: Open Your Eyes""",2015,2,Japón ,Japón,Nagoya ,Zepp Nagoya ,1864, $50.00 , $100.00 
BTS,"BTS 1st Japan Tour ""Wake Up: Open Your Eyes""",2015,2,Japón ,Japón,Fukuoka ,Zepp Fukuoka ,1526, $50.00 , $100.00 
BTS,"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ",2015,3,China,Taiwán,Taipéi,New Taipei City Exhibition Hall,7000, $90.00 , $160.00 
BTS,"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ",2015,6,Sudeste Asiático,Malasia ,Kuala Lumpur ,Mega Star Arena ,5000, $74.87 , $143.45 
BTS,"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ",2015,7,Oceanía ,Australia ,Sídney,UNSW Roundhouse ,2200, $129.00 , $199.00 
BTS,"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ",2015,7,Oceanía ,Australia ,Melbourne ,Plenary 1 ,1482, $89.00 , $199.00 
BTS,"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ",2015,7,Estados Unidos ,Estados Unidos ,Nueva York ,Best Buy Theater ,2100, $65.00 , $205.00 
BTS,"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ",2015,7,Estados Unidos ,Estados Unidos ,Dallas ,Verizon Theater ,6350, $65.00 , $205.00 
BTS,"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ",2015,7,Estados Unidos ,Estados Unidos ,Chicago,Rosemont Theater,4400, $65.00 , $205.00 
BTS,"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ",2015,7,Estados Unidos ,Estados Unidos ,Los Ángeles,Club Nokia ,2356, $65.00 , $205.00 
BTS,"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ",2015,7,México,México ,Ciudad de México,Pabellon Oeste ,3500, $76.11 , $142.07 
BTS,"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ",2015,7,Brasil,Brasil ,Sao Paulo ,Audio Club ,3000, $56.83 , $86.10 
BTS,"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ",2015,8,América Latina,Chile ,Santiago ,Movistar Arena ,16522, $17.84 , $107.01 
BTS,"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ",2015,8,Sudeste Asiático,Tailandia ,Bangkok,Thunder Dome,15000, $80.00 , $150.00 
BTS,"BTS 2nd World Tour ""BTS Live Trilogy: Episode II The Red Bullet"" ",2015,8,China,China ,Hong Kong ,Asia World Expo Arena ,14000, $61.86 , $203.63 
BTS,"BTS 1st Concert ""BTS Live Trilogy: Episode 1 BTS Begins""",2015,3,Corea del Sur,Corea del Sur,Seúl,Olympic Park Hall ,2452, $70.00 , $120.00 
BTS,"BTS Live ""The Most Beautiful Moment In Life On Stage""",2015,9,Sudeste Asiático,Indonesia ,Yakarta ,Kasablanca Hall,5500, $80.00 , $140.00 
BTS,"BTS Live ""The Most Beautiful Moment In Life On Stage""",2015,11,Corea del Sur,Corea del Sur,Seúl,SK Olympic Handball Gymnasium,6500, $70.00 , $120.00 
BTS,"BTS Live ""The Most Beautiful Moment In Life On Stage""",2015,12,Japón ,Japón,Yokohama ,Yokohama Arena ,17000, $90.00 , $160.00 
BTS,"BTS Live ""The Most Beautiful Moment In Life On Stage""",2015,12,Japón ,Japón,Kobe ,Kobe World Memorial Hall,8000, $80.00 , $150.00 
Stray Kids,UNVEIL TOUR ‘I am…’,2019,8,Europa,Rusia,Moscú,Adrenaline Stadium,8500, Sin datos , Sin datos 
Stray Kids,UNVEIL TOUR ‘I am…’,2019,9,Japón,Japón,Yokohama,Pacifico Yokohoma National Hall,5002, Sin datos , Sin datos 
Stray Kids,District 9 : Unlock,2019,11,Corea del Sur,Corea del Sur,Seúl,Olympic Park Hall,2400, Sin datos , Sin datos 
Stray Kids,District 9 : Unlock,2019,11,Corea del Sur,Corea del Sur,Seúl,Olympic Park Hall,2400, Sin datos , Sin datos 
Girls' Generation (SNSD),Phantasia 4th Tour,2016,1,Japón,Japón,Osaka,Osaka Jo-Hall,16000, $45.00 , $180.00 
Girls' Generation (SNSD),Phantasia 4th Tour,2016,2,Japón,Japón,Fukuoka,Marine Messe ,13000, $45.00 , $180.00 
BTS,"BTS Live ""The Most Beautiful Moment In Life On Stage: Epilogue""",2016,6,China,China ,Macao ,Studio City Event Center ,22000, $61.32 , $235.28 
BTS,"BTS Live ""The Most Beautiful Moment In Life On Stage: Epilogue""",2016,7,China,China ,Beijing ,Beijing Capital Gymnasium ,17345, $52.11 , $216.68 
BTS,"BTS Live ""The Most Beautiful Moment In Life On Stage: Epilogue""",2016,7,Sudeste Asiático,Filipinas ,Manila ,MOA Arena ,20000, $17.66 , $211.98 
BTS,"BTS Live ""The Most Beautiful Moment In Life On Stage: Epilogue""",2016,8,Sudeste Asiático,Tailandia ,Bangkok,Indoor Stadium ,15000, $54.00 , $173.99 
SEVENTEEN,"SEVENTEEN 1st Asia Tour ""Shining Diamond""",2016,8,Sudeste Asiático,Singapur,Singapur,MegaBox Convention Centre,2333, $104.84 , $180.80 
SEVENTEEN,"SEVENTEEN 1st Asia Tour ""Shining Diamond""",2016,8,Sudeste Asiático,Filipinas,Manila ,Solaire Grand Theatre,1740, $70.72 , $123.76 
SEVENTEEN,"SEVENTEEN 1st Asia Tour ""Shining Diamond""",2016,8,Sudeste Asiático,Indonesia,Yakarta,Balai Sarbini,1300, $77.13 , $136.47 
SEVENTEEN,"SEVENTEEN 1st Asia Tour ""Shining Diamond""",2016,8,Sudeste Asiático,Tailandia ,Bangkok,Muang Thai GMM Live House,3000, $89.36 , $163.83 
SEVENTEEN,"SEVENTEEN 1st Asia Tour ""Shining Diamond""",2016,8,Oceanía ,Australia ,Melbourne,The Plenary ,5500, $68.68 , $145.00 
