Column1;Column2;Column3;Column4;Column5;Column6
Melody Pink (ex The Singing Girls);멜로디핑크;KD Entertainment;2017 - 2020;Mujeres;4
PRISM;프리즘;LCH Entertainment;2017 - 2021;Mujeres;4
S.I.S;에스아이에스;XX Entertainment;2017 - 2021;Mujeres;4
G-Reyish;그레이시;Elijah Entertainment;2017 - 2022;Mujeres;4
LOONA 1/3[n 50]​;이달의 소녀 삼분의 일;Blockberry Creative;2017 - 2023;Mujeres;4
Awesome;어썸;Midum Entertainment;2017 - presente;Mujeres;4
B.O.S.S.;보스;Good Frendz Entertainment;2017 - presente;Mujeres;4
Busters;버스터즈;JTG Entertainment;2017 - presente;Mujeres;4
Chic Angel;시크엔젤;LiZ Entertainment;2017 - presente;Mujeres;4
FanxyRed (ex Acrush);팬시레드;TOV Entertainment;2017 - presente;Mujeres;4
Rose Queen;로즈퀸;New Code Music;2017 - presente;Mujeres;4
ilips;아이립스;GBK Entertainment;2012;Mujeres;5
La TTE;;Star Cubic Entertainment;2012;Mujeres;5
P.O.P CON;;J&S Entertainment;2012;Mujeres;5
Ruby;루비;HY Entertainment;2012;Mujeres;5
High Lady;하이 레이디;S Contents Media;2012 - 2013;Mujeres;5
LAY.T;레이티;Baeksang Entertainment;2012 - 2013;Mujeres;5
PANDORA;판도라;TS Family Entertainment;2012 - 2013;Mujeres;5
S the One;;EC Ebenezer;2012 - 2013;Mujeres;5
Puretty (ex DSP Girls);퓨리티;DSP Media;2012 - 2014;Mujeres;5
SKarf;스카프;Alpha Entertainment;2012 - 2014;Mujeres;5
EvoL;이블;Stardom Entertainment;2012 - 2015;Mujeres;5
GLAM;글램;Big Hit Entertainment;2012 - 2015;Mujeres;5
Sunny Days;써니데이즈;Haeun Entertainment;2012 - 2016;Mujeres;5
Queen B'Z;퀸비즈;JS Entertainment;2012 - 2017;Mujeres;5
Spica;스피카;CJ E&M;2012 - 2017;Mujeres;5
Tahiti;타히티;Dream Star Entertainment;2012 - 2018;Mujeres;5
EXID;이엑스아이디;AB Entertainment;2012 - presente;Mujeres;5
Hey Girls (ex Black Queen);헤이걸스;Moai Entertainment;2012 - presente;Mujeres;5
Peach Girl;피치걸;JM STAR Entertainment;2013 - 2014;Mujeres;5
BP POP;비피팝;BP Story Entertainment;2013 - 2015;Mujeres;5
Delight;딜라잇;BrosMedia Entertainment;2013 - 2015;Mujeres;5
TINT;틴트;GH Entertainment;2013 - 2015;Mujeres;5
GI (Global Icon);글로벌 아이콘;Simtong Entertainment;2013 - 2016;Mujeres;5
TREN-D;트랜디;Asian Dream Entertainment;2013 - 2016;Mujeres;5
2EYES;투아이즈;Sidus HQ;2013 - 2017;Mujeres;5
AOA Black[n 25]​;에이오에이-블랙;FNC Entertainment;2013 - 2020;Mujeres;5
Alice White;엘리스 화이트;SMAF Production;2014 - 2015;Mujeres;5
Smile.G;스마일지;ShowWorks;2014 - 2015;Mujeres;5
Chaness[n 30]​;차니스;Aquagro Entertainment;2014 - 2016;Mujeres;5
A.KOR;에이코어;Doo Republic;2014 - 2017;Mujeres;5
D.HOLIC;디홀릭;Star Road Entertainment;2014 - 2017;Mujeres;5
WANNA.B;워너비;Zenith Media Contents;2014 - 2019;Mujeres;5
Berry Good;베리굿;JTG Entertainment;2014 - 2021;Mujeres;5
Laboum;라붐;NH Media;2014 - presente;Mujeres;5
Red Velvet;레드벨벳;S.M. Entertainment;2014 - presente;Mujeres;5
ZZBest;지지베스트;Faith Entertainment;2015;Mujeres;5
10X10;;Gaon Entertainment;2015 - 2016;Mujeres;5
Awe5ome Baby;어썸 베이비;TN Nation Entertainment;2015 - 2016;Mujeres;5
HEXE;헤쎄;Serenity Music;2015 - 2016;Mujeres;5
Honey Girls;허니걸스;LiZ Entertainment;2015 - 2016;Mujeres;5
The Ark;디아크;Music K Entertainment;2015 - 2016;Mujeres;5
UNIZ;유니즈;C2K Entertainment;2015 - 2016;Mujeres;5
Vividiva;비비디바;DN Entertainment;2015 - 2016;Mujeres;5
Hotties;핫티즈;Soleino Entertainment;2015 - 2017;Mujeres;5
Playback;플레이백;Coridel Entertainment;2015 - 2018;Mujeres;5
