Column1;Column2;Column3;Column4;Column5;Column6
TROY;트로이;Brand New Music;2014 - presente;Hombres;4
Uniq;유니크;Yuehua Entertainment;2014 - presente;Hombres;5
Winner;위너;YG Entertainment;2014 - presente;Hombres;4
1PUNCH;원펀치;Brave Entertainment;2015;Hombres;2
IN4MAL;인포머;AllBlack Entertainment;2015;Hombres;5
OneVoices;원보이시스;HaK Entertainment;2015;Hombres;2
ZEST-Z[n 35]​;제스트-Z;Zenith Media Contents;2015;Hombres;3
A6P;에이식스피;DS Entertainment;2015 - 2016;Hombres;6
AOORA & HOIK[n 36]​;아우라&호익;Blue Star Entertainment;2015 - 2016;Hombres;2
Dongnae Oppa;동네 오빠;Mac Agencia;2015 - 2016;Hombres;6
Hidden;히든;Yanus Music;2015 - 2016;Hombres;5
HIGHBROW;하이브로우;MBK Entertainment;2015 - 2016;Hombres;2
Lose Control;루즈컨트롤;Haeun Entertainment;2015 - 2016;Hombres;6
NPI;엔피아이;New Planet Entertainment;2015 - 2016;Hombres;6
P.L.O;피.엘.오;Butterfly Entertainment;2015 - 2016;Hombres;6
PURE-L[n 37]​;순정L;It Entertainment;2015 - 2016;Hombres;6
Trophy;트로피;FM Entertainment;2015 - 2016;Hombres;5
ZE:A J[n 17]​;제국의아이들 A-J;Star Empire Entertainment;2015 - 2016;Hombres;3
ALL-STAR;올스타;BurnHard Entertainment;2015 - 2017;Hombres;5
Double Eight;더블 에이트;HY Entertainment;2015 - 2017;Hombres;5
VX;브이엑스;JJ Entertainment;2015 - 2017;Hombres;5
Snuper;스누퍼;Widmay Entertainment;2015 - 2023;Hombres;6
VIXX LR[n 39]​;빅스 LR;Jellyfish Entertainment;2015 - 2023;Hombres;2
BASTARZ[n 40]​;바스타즈;KQ Entertainment;2015 - presente;Hombres;3
Big Brain;빅브레인;Major9 Entertainment;2015 - presente;Hombres;4
Day6;데이식스;JYP Entertainment;2015 - presente;Hombres;5
IKON;아이콘;YG Entertainment;2015 - presente;Hombres;6
M.A.P6;엠에이피식스;All-S Entertainment;2015 - presente;Hombres;6
Monsta X;몬스타엑스;Starship Entertainment;2015 - presente;Hombres;7
Romeo;로미오;Hunus Entertainment;2015 - presente;Hombres;7
Seventeen;세븐틴;Pledis Entertainment;2015 - presente;Hombres;13
UP10TION;업텐션;TOP Media;2015 - presente;Hombres;10
VAV;브이에이브이;A Team Entertainment;2015 - presente;Hombres;7
Xst;엑스트;Midas Entertainment;2015 - presente;Hombres;5
HIGH4 20[n 41]​;하이포 20;N.A.P. Entertainment;2016;Hombres;2
INX;인엑스;NA Entertainment;2016 - 2017;Hombres;5
Z:ON;지온;J Star Entertainment;2016 - 2017;Hombres;2
TheEastLight.;더 이스트라이트;MediaLine Entertainment;2016 - 2018;Hombres;6
MASC;마스크;J Planet Entertainment;2016 - 2020;Hombres;4
Voisper;보이스퍼;Evermore Music;2016 - 2021;Hombres;4
Astro;아스트로;Fantagio Entertainment;2016 - presente;Hombres;6
BINBLOW;빈블로우;Music&New;2016 - presente;Hombres;2
Boys Generally Asian (BgA);또한;Wong Fu Productions;2016 - presente;Hombres;5
BtoB-Blue[n 43]​;비투비-블루;Cube Entertainment;2016 - presente;Hombres;4
EXO-CBX[n 12]​;엑소-첸백시;S.M. Entertainment;2016 - presente;Hombres;3
High Tension;높은장력;Independiente;2016 - presente;Hombres;2
Imfact;임팩트;Star Empire Entertainment;2016 - presente;Hombres;5
KNK;크나큰;220 Entertainment;2016 - presente;Hombres;5
LST;엘에스티;OGAM Entertainment;2016 - presente;Hombres;7
New Town Boyz;뉴타우보이즈;Independiente;2016 - presente;Hombres;4
NCT U[n 45]​;엔시티 U;S.M. Entertainment;2016 - presente;Hombres;23
NCT 127[n 45]​;엔시티 127;S.M. Entertainment;2016 - presente;Hombres;9
NCT Dream[n 45]​;엔시티 Dream;S.M. Entertainment;2016 - presente;Hombres;7
Pentagon;펜타곤;Cube Entertainment;2016 - presente;Hombres;9
SF9;에스에프나인;FNC Entertainment;2016 - presente;Hombres;9
SS301[n 46]​;SS301;CI Entertainment;2016 - presente;Hombres;3
VICTON;빅톤;IST Entertainment;2016 - presente;Hombres;7
Vromance;브로맨스;Rainbow Bridge World;2016 - presente;Hombres;4
B.I.T (Burning Time);비아이티;SD Entertainment;2017;Hombres;5
Elvin Crew;엘빈 크루;HiCC;2017;Hombres;5
Unit Black;유닛 블랙;CJ E&M;2017;Hombres;8
3RACHA[n 49]​;쓰리라차;JYP Entertainment;2017 - 2018;Hombres;3
B.HEART;비하트;Poong Entertainment;2017 - 2018;Hombres;4
B:SKIT;비스킷;G-Creative;2017 - 2018;Hombres;4
BLK;비엘케이;BYKING Entertainment;2017 - 2018;Hombres;6
JBJ;제이비제이;LOEN Entertainment;2017 - 2018;Hombres;6
Longguo & Shihyun;용국&시현;Choon Entertainment;2017 - 2018;Hombres;2
NU'EST-W[n 19]​;뉴이스트 W;Pledis Entertainment;2017 - 2018;Hombres;4
Rainz;레인즈;KISS Entertainment;2017 - 2018;Hombres;7
Vermuda;버뮤다;Pace Maker Entertainment;2017 - 2018;Hombres;5
14U;원포유;BG Entertainment;2017 - 2019;Hombres;14
BAIKAL;바이칼;Baikal Entertainment;2017 - 2019;Hombres;7
BLANC7;블랑세븐;Jackpot Entertainment;2017 - 2019;Hombres;7
Honeyst;허니스트;FNC Entertainment;2017 - 2019;Hombres;4
Myteen;마이틴;The Music Works;2017 - 2019;Hombres;7
Varsity;바시티;Eccle Entertainment;2017 - 2019;Hombres;6
Wanna One;워너원;Swing Entertainment;2017 - 2019;Hombres;11
H.B.Y;열혈남아;Rainbow Entertainment;2017 - 2020;Hombres;4
BLACK6IX;블랙식스;Black Hole Entertainment;2017 - 2021;Hombres;6
Seven O'clock;세븐어클락;Forest Network;2017 - 2021;Hombres;7
MVP;엠브이피;PH Entertainment;2017 - 2022;Hombres;7
TRCNG;티알씨엔지;TS Entertainment;2017 - 2022;Hombres;8
A.C.E;에이스;Beat Interactive;2017 - presente;Hombres;5
Class Mate;동급생은;HF Music Company;2017 - presente;Hombres;3
EXP EDITION;이엑스피 에디션;IMMAB Entertainment;2017 - presente;Hombres;4
Golden Child;골든 차일드;Woollim Entertainment;2017 - presente;Hombres;10
Great Guys;멋진녀석들;DNA Entertainment;2017 - presente;Hombres;9
IM[n 51]​;아이엠;MBK Entertainment;2017 - presente;Hombres;4
IN2IT;인투잇;MMO Entertainment;2017 - presente;Hombres;6
IZ;아이즈;Music K Entertainment;2017 - presente;Hombres;4
M.O.N.T;몬트;Fly Music Entertainment;2017 - presente;Hombres;3
MXM[n 52]​;엠엑스엠;Brand New Music;2017 - presente;Hombres;2
ONF;온앤오프;WM Entertainment;2017 - presente;Hombres;6
Paradise;파라다이스;HL Company;2017 - presente;Hombres;4
The Boyz;더보이즈;IST Entertainment;2017 - presente;Hombres;11
Trophy Cat;트로피캣;Billion DC;2017 - presente;Hombres;2
TST;일급비밀;JM STAR Entertainment;2017 - presente;Hombres;5
Varsity-V[n 54]​;;Eccle Entertainment;2017 - presente;Hombres;5
X Hearts[n 55]​;크로스하츠;Amuse Korea Inc.;2017 - presente;Hombres;3
Nombre;Nombre Hangul;Compañía;Período;Género;Miembros
2012;2012;2012;2012;2012;2012
Younique Unit;유니크 유닛;S.M. Entertainment;2012;Mixto;4H - 1M
Akdong Musician;악동뮤지션;YG Entertainment;2012 - presente;Mixto;1H - 1M
2013;2013;2013;2013;2013;2013
Brit;브릿;Nextar Entertainment;2013;;
2014;2014;2014;2014;2014;2014
NASTY NASTY[n 28]​;네스티네스티;Star Empire Entertainment;2014;Mixto;1H - 2M
Lapis Lazuli;라피스라줄리;TK Entertainment;2014 - 2015;Mixto;2H - 1M
Almeng;알맹;Majesty Entertainment;2014 - presente;Mixto;1H - 1M
2015;2015;2015;2015;2015;2015
Jimin N J.Don[n 34]​;지민 엔 제이던;FNC Entertainment;2015;Mixto;1H - 1M
2016;2016;2016;2016;2016;2016
Triple T;트리플 T;S.M. Ent. y JYP Ent.;2016;Mixto;1H - 2M
DIP MX;디아이피;Inter BD Entertainment;2016 - presente;Mixto;2H - 1M
Kard;카드;DSP Media;2016 - presente;Mixto;2H - 2M
2017;2017;2017;2017;2017;2017
Triple H;트리플 H;Cube Entertainment;2017 - 2018;Mixto;2H - 1M
