GRUPO ;EMPRESA ;AÑO DEBUT;AÑO FIN;GÉNERO;N° MIEMBROS;Chile (SI/NO);OYENTES SPOTIFY;
G-Reyish;Elijah Entertainment;2017;2022;Mujeres;4;0;Sin datos;
LOONA 1/3;Blockberry Creative;2017;2023;Mujeres;4;0;Sin datos;
Awesome;Midum Entertainment;2017; presente;Mujeres;4;0;Sin datos;
B.O.S.S.;Good Frendz Entertainment;2017; presente;Mujeres;4;0;Sin datos;
Busters;JTG Entertainment;2017; presente;Mujeres;4;0;Sin datos;
Chic Angel;LiZ Entertainment;2017; presente;Mujeres;4;0;Sin datos;
FanxyRed (ex Acrush);TOV Entertainment;2017; presente;Mujeres;4;0;Sin datos;
Rose Queen;New Code Music;2017; presente;Mujeres;4;0;Sin datos;
ilips;GBK Entertainment;2012;2012;Mujeres;5;0;Sin datos;
La TTE;Star Cubic Entertainment;2012;2012;Mujeres;5;0;Sin datos;
P.O.P CON;J&S Entertainment;2012;2012;Mujeres;5;0;Sin datos;
Ruby;HY Entertainment;2012;2012;Mujeres;5;0;Sin datos;
High Lady;S Contents Media;2012;2013;Mujeres;5;0;Sin datos;
LAY.T;Baeksang Entertainment;2012;2013;Mujeres;5;0;Sin datos;
PANDORA;TS Family Entertainment;2012;2013;Mujeres;5;0;Sin datos;
S the One;EC Ebenezer;2012;2013;Mujeres;5;0;Sin datos;
Puretty (ex DSP Girls);DSP Media;2012;2014;Mujeres;5;0;Sin datos;
SKarf;Alpha Entertainment;2012;2014;Mujeres;5;0;Sin datos;
EvoL;Stardom Entertainment;2012;2015;Mujeres;5;0;Sin datos;
GLAM;Big Hit Entertainment;2012;2015;Mujeres;5;0;Sin datos;
Sunny Days;Haeun Entertainment;2012;2016;Mujeres;5;0;Sin datos;
Queen B'Z;JS Entertainment;2012;2017;Mujeres;5;0;Sin datos;
Spica;CJ E&M;2012;2017;Mujeres;5;0;Sin datos;
Tahiti;Dream Star Entertainment;2012;2018;Mujeres;5;0;Sin datos;
EXID;AB Entertainment;2012; presente;Mujeres;5;0;Sin datos;
Hey Girls (ex Black Queen);Moai Entertainment;2012; presente;Mujeres;5;0;Sin datos;
Peach Girl;JM STAR Entertainment;2013;2014;Mujeres;5;0;Sin datos;
BP POP;BP Story Entertainment;2013;2015;Mujeres;5;0;Sin datos;
Delight;BrosMedia Entertainment;2013;2015;Mujeres;5;0;Sin datos;
TINT;GH Entertainment;2013;2015;Mujeres;5;0;Sin datos;
GI (Global Icon);Simtong Entertainment;2013;2016;Mujeres;5;0;Sin datos;
TREN-D;Asian Dream Entertainment;2013;2016;Mujeres;5;0;Sin datos;
2EYES;Sidus HQ;2013;2017;Mujeres;5;0;Sin datos;
AOA Black;FNC Entertainment;2013;2020;Mujeres;5;0;Sin datos;
Alice White;SMAF Production;2014;2015;Mujeres;5;0;Sin datos;
Smile.G;ShowWorks;2014;2015;Mujeres;5;0;Sin datos;
Chaness;Aquagro Entertainment;2014;2016;Mujeres;5;0;Sin datos;
A.KOR;Doo Republic;2014;2017;Mujeres;5;0;Sin datos;
D.HOLIC;Star Road Entertainment;2014;2017;Mujeres;5;0;Sin datos;
WANNA.B;Zenith Media Contents;2014;2019;Mujeres;5;0;Sin datos;
Berry Good;JTG Entertainment;2014;2021;Mujeres;5;0;Sin datos;
Laboum;NH Media;2014; presente;Mujeres;5;0;Sin datos;
Red Velvet;S.M. Entertainment;2014; presente;Mujeres;5;1;4.890.711;
ZZBest;Faith Entertainment;2015;2015;Mujeres;5;0;Sin datos;
10X10;Gaon Entertainment;2015;2016;Mujeres;5;0;Sin datos;
Awe5ome Baby;TN Nation Entertainment;2015;2016;Mujeres;5;0;Sin datos;
HEXE;Serenity Music;2015;2016;Mujeres;5;0;Sin datos;
Honey Girls;LiZ Entertainment;2015;2016;Mujeres;5;0;Sin datos;
The Ark;Music K Entertainment;2015;2016;Mujeres;5;0;Sin datos;
UNIZ;C2K Entertainment;2015;2016;Mujeres;5;0;Sin datos;
Vividiva;DN Entertainment;2015;2016;Mujeres;5;0;Sin datos;
Hotties;Soleino Entertainment;2015;2017;Mujeres;5;0;Sin datos;
Playback;Coridel Entertainment;2015;2018;Mujeres;5;0;Sin datos;
Episode (ex Vitamin Angel);Pops Entertainment;2015;" 2019; 2020 ";Mujeres;5;0;Sin datos;
Sunny Girls;SBS Contents Hub;2016;2016;Mujeres;5;0;Sin datos;
A.Some;The Solution;2016;2017;Mujeres;5;0;Sin datos;
D.el;R.A.C. Entertainment;2016;2017;Mujeres;5;0;Sin datos;
Dorothy;Leek.Mill;2016;2017;Mujeres;5;0;Sin datos;
I.B.I;LOEN Entertainment;2016;2017;Mujeres;5;0;Sin datos;
MIXX;Chiko Bros Entertainment;2016;2017;Mujeres;5;0;Sin datos;
Oh!Bliss;JT Corea Entertainment;2016;2017;Mujeres;5;0;Sin datos;
Ureka;HY Entertainment;2016;2017;Mujeres;5;0;Sin datos;
Bulldok;INNOK Entertainment;2016;2018;Mujeres;5;0;Sin datos;
SUPA;GA Entertainment;2016;2018;Mujeres;5;0;Sin datos;
Switch Berry;DAM Entertainment;2016;2018;Mujeres;5;0;Sin datos;
Holics;LPA Entertainment;2016;2021;Mujeres;5;0;Sin datos;
H.U.B;New Planet Entertainment;2016; presente;Mujeres;5;0;Sin datos;
Good Morning;C9 Entertainment;2017;2017;Mujeres;5;0;Sin datos;
PIT A PAT;PIT A PAT Entertainment;2017;2017;Mujeres;5;0;Sin datos;
1NB;Tribus Entertainment;2017;2018;Mujeres;5;0;Sin datos;
AMOR;Troy Entertainment;2017;2018;Mujeres;5;0;Sin datos;
APPLE.B;GH Entertainment;2017;2018;Mujeres;5;0;Sin datos;
P.O.P;DBW Entertainment;2017;2018;Mujeres;5;0;Sin datos;
Marmello;Rolling CultureOne;2017;2019;Mujeres;5;0;Sin datos;
Yellow Bee;Addiction Entertainment;2017;2020;Mujeres;5;0;Sin datos;
Blah Blah;FAB Entertainment;2017; presente;Mujeres;5;0;Sin datos;
Girl's Alert;Roots Entertainment;2017; presente;Mujeres;5;0;Sin datos;
HINT;Star Pro Entertainment;2017; presente;Mujeres;5;0;Sin datos;
Littles;Nega Network;2012;2012;Mujeres;3;0;Sin datos;
2winD;;2012;2013;Mujeres;2;0;Sin datos;
84LY;ShowM;2012;2013;Mujeres;6;0;Sin datos;
BBde Girl;BigStar Entertainment;2012;2013;Mujeres;6;0;Sin datos;
BTSwing;101 Doors Entertainment;2012;2013;Mujeres;2;0;Sin datos;
Jevice;DreamTea Entertainment;2012;2013;Mujeres;2;0;Sin datos;
Gangkiz;MBK Entertainment;2012;2014;Mujeres;7;0;Sin datos;
Rainbow Pixie;DSP Media;2012;2016;Mujeres;3;0;Sin datos;
Girls' Generation-TTS;S.M. Entertainment;2012;2017;Mujeres;3;0;Sin datos;
Fiestar;Kakao M;2012;" 2018; 2024 ";Mujeres;6;0;Sin datos;
15&;JYP Entertainment;2012;2019;Mujeres;2;0;Sin datos;
Hello Venus;Pledis Entertainment;2012;2019;Mujeres;6;0;Sin datos;
