GRUPO ;EMPRESA ;AÑO DEBUT;AÑO FIN;GÉNERO;N° MIEMBROS;Chile (SI/NO);OYENTES SPOTIFY;
Ugly Pumpkin;GF Entertainment;2014;2015;Hombres;3;0;Sin datos;
Atomic Kiz;Leaders Contents Company;2014;2016;Hombres;5;0;Sin datos;
HeartB;Marblepop Entertainment;2014;2016;Hombres;4;0;Sin datos;
JACE;Right Achievement Group;2014;2016;Hombres;2;0;Sin datos;
Welldone Potato;Banana Culture;2014;2016;Hombres;4;0;Sin datos;
ZEST;Zenith Media Contents;2014;2016;Hombres;5;0;Sin datos;
ZPZG;JStar Entertainment;2014;2016;Hombres;4;0;Sin datos;
AA;SHow Entertainment;2014;2017;Hombres;2;0;Sin datos;
HIGH4;N.A.P. Entertainment;2014;2017;Hombres;4;0;Sin datos;
Madtown;GNI Entertainment;2014;2017;Hombres;7;0;Sin datos;
Nutaz;MBK Entertainment;2014;2017;Hombres;2;0;Sin datos;
The Legend;SS Entertainment;2014;2017;Hombres;5;0;Sin datos;
Be.A (ex K-MUCH);Chrome Entertainment;2014;2018;Hombres;5;0;Sin datos;
BEAT WIN;Heavenly Star Content;2014;2018;Hombres;5;0;Sin datos;
PUREBOY;It Entertainment;2014;2018;Hombres;9;0;Sin datos;
HALO;Histar Entertainment;2014;2019;Hombres;6;0;Sin datos;
5URPRISE;Fantagio Entertainment;2014;2020;Hombres;5;0;Sin datos;
Hotshot;Star Crew Entertainment;2014;2021;Hombres;6;0;Sin datos;
2000WON;Reve Entertainment;2014; presente;Hombres;2;0;Sin datos;
B.I.G;GH Entertainment;2014; presente;Hombres;6;0;Sin datos;
Beat Burger;S.M. Entertainment;2014; presente;Hombres;5;;Sin datos;
BigFlo;HO Company;2014; presente;Hombres;5;0;Sin datos;
GOT7;JYP Entertainment;2014; presente;Hombres;7;1;2.454.970;
Hyukoh;YG Entertainment;2014; presente;Hombres;4;0;Sin datos;
Infinite F;Woollim Entertainment;2014; presente;Hombres;3;0;Sin datos;
JJCC;Jackie Chan Group Korea;2014; presente;Hombres;5;0;Sin datos;
LU:KUS (ex L.A.U);JWK Entertainment;2014; presente;Hombres;4;0;Sin datos;
Rion Five;Narda Entertainment;2014; presente;Hombres;6;0;Sin datos;
The King;Stallion Entertainment;2014; presente;Hombres;5;0;Sin datos;
TROY;Brand New Music;2014; presente;Hombres;4;0;Sin datos;
Uniq;Yuehua Entertainment;2014; presente;Hombres;5;0;Sin datos;
Winner;YG Entertainment;2014; presente;Hombres;4;0;Sin datos;
1PUNCH;Brave Entertainment;2015;2015;Hombres;2;0;Sin datos;
IN4MAL;AllBlack Entertainment;2015;2015;Hombres;5;0;Sin datos;
OneVoices;HaK Entertainment;2015;2015;Hombres;2;0;Sin datos;
ZEST-Z;Zenith Media Contents;2015;2015;Hombres;3;0;Sin datos;
A6P;DS Entertainment;2015;2016;Hombres;6;0;Sin datos;
AOORA & HOIK;Blue Star Entertainment;2015;2016;Hombres;2;0;Sin datos;
Dongnae Oppa;Mac Agencia;2015;2016;Hombres;6;0;Sin datos;
Hidden;Yanus Music;2015;2016;Hombres;5;0;Sin datos;
HIGHBROW;MBK Entertainment;2015;2016;Hombres;2;0;Sin datos;
Lose Control;Haeun Entertainment;2015;2016;Hombres;6;0;Sin datos;
NPI;New Planet Entertainment;2015;2016;Hombres;6;0;Sin datos;
P.L.O;Butterfly Entertainment;2015;2016;Hombres;6;0;Sin datos;
PURE-L;It Entertainment;2015;2016;Hombres;6;0;Sin datos;
Trophy;FM Entertainment;2015;2016;Hombres;5;0;Sin datos;
ZE:A J;Star Empire Entertainment;2015;2016;Hombres;3;0;Sin datos;
ALL-STAR;BurnHard Entertainment;2015;2017;Hombres;5;0;Sin datos;
Double Eight;HY Entertainment;2015;2017;Hombres;5;0;Sin datos;
VX;JJ Entertainment;2015;2017;Hombres;5;0;Sin datos;
Snuper;Widmay Entertainment;2015;2023;Hombres;6;0;Sin datos;
VIXX LR;Jellyfish Entertainment;2015;2023;Hombres;2;0;Sin datos;
BASTARZ;KQ Entertainment;2015; presente;Hombres;3;0;Sin datos;
Big Brain;Major9 Entertainment;2015; presente;Hombres;4;0;Sin datos;
Day6;JYP Entertainment;2015; presente;Hombres;5;1;2.341.249;
IKON;YG Entertainment;2015; presente;Hombres;6;0;Sin datos;
M.A.P6;All-S Entertainment;2015; presente;Hombres;6;0;Sin datos;
Monsta X;Starship Entertainment;2015; presente;Hombres;7;1;1.198.770;
Romeo;Hunus Entertainment;2015; presente;Hombres;7;0;Sin datos;
Seventeen;Pledis Entertainment;2015; presente;Hombres;13;1;5.370.250;
UP10TION;TOP Media;2015; presente;Hombres;10;0;Sin datos;
VAV;A Team Entertainment;2015; presente;Hombres;7;0;Sin datos;
Xst;Midas Entertainment;2015; presente;Hombres;5;0;Sin datos;
HIGH4 20;N.A.P. Entertainment;2016;2016;Hombres;2;0;Sin datos;
INX;NA Entertainment;2016;2017;Hombres;5;0;Sin datos;
Z:ON;J Star Entertainment;2016;2017;Hombres;2;0;Sin datos;
TheEastLight;MediaLine Entertainment;2016;2018;Hombres;6;0;Sin datos;
MASC;J Planet Entertainment;2016;2020;Hombres;4;0;Sin datos;
Voisper;Evermore Music;2016;2021;Hombres;4;0;Sin datos;
Astro;Fantagio Entertainment;2016; presente;Hombres;6;0;Sin datos;
BINBLOW;Music&New;2016; presente;Hombres;2;0;Sin datos;
Boys Generally Asian (BgA);Wong Fu Productions;2016; presente;Hombres;5;0;Sin datos;
BtoB-Blue;Cube Entertainment;2016; presente;Hombres;4;0;Sin datos;
EXO-CBX;S.M. Entertainment;2016; presente;Hombres;3;0;Sin datos;
High Tension;Independiente;2016; presente;Hombres;2;0;Sin datos;
Imfact;Star Empire Entertainment;2016; presente;Hombres;5;0;Sin datos;
KNK;220 Entertainment;2016; presente;Hombres;5;0;Sin datos;
LST;OGAM Entertainment;2016; presente;Hombres;7;0;Sin datos;
New Town Boyz;Independiente;2016; presente;Hombres;4;0;Sin datos;
NCT U;S.M. Entertainment;2016; presente;Hombres;23;0;Sin datos;
NCT 127;S.M. Entertainment;2016; presente;Hombres;9;0;Sin datos;
NCT Dream;S.M. Entertainment;2016; presente;Hombres;7;;2.600.000;
Pentagon;Cube Entertainment;2016; presente;Hombres;9;0;Sin datos;
SF9;FNC Entertainment;2016; presente;Hombres;9;1;361.958;
SS301;CI Entertainment;2016; presente;Hombres;3;0;Sin datos;
VICTON;IST Entertainment;2016; presente;Hombres;7;0;Sin datos;
Vromance;Rainbow Bridge World;2016; presente;Hombres;4;0;Sin datos;
B.I.T (Burning Time);SD Entertainment;2017;2017;Hombres;5;0;Sin datos;
Elvin Crew;HiCC;2017;2017;Hombres;5;0;Sin datos;
Unit Black;CJ E&M;2017;2017;Hombres;8;0;Sin datos;
3RACHA;JYP Entertainment;2017;2018;Hombres;3;0;Sin datos;
B.HEART;Poong Entertainment;2017;2018;Hombres;4;0;Sin datos;
B:SKIT;G-Creative;2017;2018;Hombres;4;0;Sin datos;
BLK;BYKING Entertainment;2017;2018;Hombres;6;0;Sin datos;
JBJ;LOEN Entertainment;2017;2018;Hombres;6;0;Sin datos;
Longguo & Shihyun;Choon Entertainment;2017;2018;Hombres;2;0;Sin datos;
NU'EST-W;Pledis Entertainment;2017;2018;Hombres;4;0;Sin datos;
Rainz;KISS Entertainment;2017;2018;Hombres;7;0;Sin datos;
Vermuda;Pace Maker Entertainment;2017;2018;Hombres;5;0;Sin datos;
14U;BG Entertainment;2017;2019;Hombres;14;0;Sin datos;
BAIKAL;Baikal Entertainment;2017;2019;Hombres;7;0;Sin datos;
BLANC7;Jackpot Entertainment;2017;2019;Hombres;7;0;Sin datos;
Honeyst;FNC Entertainment;2017;2019;Hombres;4;0;Sin datos;
Myteen;The Music Works;2017;2019;Hombres;7;0;Sin datos;
Varsity;Eccle Entertainment;2017;2019;Hombres;6;0;Sin datos;
Wanna One;Swing Entertainment;2017;2019;Hombres;11;1;768.479;
H.B.Y;Rainbow Entertainment;2017;2020;Hombres;4;0;Sin datos;
BLACK6IX;Black Hole Entertainment;2017;2021;Hombres;6;0;Sin datos;
Seven O'clock;Forest Network;2017;2021;Hombres;7;0;Sin datos;
MVP;PH Entertainment;2017;2022;Hombres;7;0;Sin datos;
TRCNG;TS Entertainment;2017;2022;Hombres;8;0;Sin datos;
A.C.E;Beat Interactive;2017; presente;Hombres;5;0;Sin datos;
Class Mate;HF Music Company;2017; presente;Hombres;3;0;Sin datos;
EXP EDITION;IMMAB Entertainment;2017; presente;Hombres;4;0;Sin datos;
Golden Child;Woollim Entertainment;2017; presente;Hombres;10;0;Sin datos;
Great Guys;DNA Entertainment;2017; presente;Hombres;9;0;Sin datos;
IM;MBK Entertainment;2017; presente;Hombres;4;0;Sin datos;
IN2IT;MMO Entertainment;2017; presente;Hombres;6;0;Sin datos;
IZ;Music K Entertainment;2017; presente;Hombres;4;0;Sin datos;
M.O.N.T;Fly Music Entertainment;2017; presente;Hombres;3;0;Sin datos;
MXM;Brand New Music;2017; presente;Hombres;2;0;Sin datos;
ONF;WM Entertainment;2017; presente;Hombres;6;0;Sin datos;
Paradise;HL Company;2017; presente;Hombres;4;0;Sin datos;
The Boyz;IST Entertainment;2017; presente;Hombres;11;0;Sin datos;
Trophy Cat;Billion DC;2017; presente;Hombres;2;0;Sin datos;
TST;JM STAR Entertainment;2017; presente;Hombres;5;0;Sin datos;
Varsity-V;Eccle Entertainment;2017; presente;Hombres;5;0;Sin datos;
X Hearts;Amuse Korea Inc.;2017; presente;Hombres;3;0;Sin datos;
Younique Unit;S.M. Entertainment;2012;2012;Mixto;4H - 1M;0;Sin datos;
Akdong Musician;YG Entertainment;2012; presente;Mixto;1H - 1M;0;Sin datos;
Brit;Nextar Entertainment;2013;2013;;;0;Sin datos;
NASTY NASTY;Star Empire Entertainment;2014;2014;Mixto;1H - 2M;0;Sin datos;
Lapis Lazuli;TK Entertainment;2014;2015;Mixto;2H - 1M;0;Sin datos;
Almeng;Majesty Entertainment;2014; presente;Mixto;1H - 1M;0;Sin datos;
Jimin N J.Don;FNC Entertainment;2015;2015;Mixto;1H - 1M;0;Sin datos;
Triple T;S.M. Ent. y JYP Ent.;2016;2016;Mixto;1H - 2M;0;Sin datos;
DIP MX;Inter BD Entertainment;2016; presente;Mixto;2H - 1M;0;Sin datos;
Kard;DSP Media;2016; presente;Mixto;2H - 2M;1;863.426;
Triple H;Cube Entertainment;2017;2018;Mixto;2H - 1M;0;Sin datos;
;;;;;;;;
