GRUPO;NOMBRE TOUR;AÑO ;MES ;PAÍS;CIUDAD ;RECINTO;CAPACIDAD;ENTRADA MÁS BARATA;ENTRADA MÁS CARA
SEVENTEEN;"SEVENTEEN 1st Asia Tour ""Shining Diamond""";2016;8;Indonesia;Yakarta;Balai Sarbini;1300;77,13 USD;136,47 USD
SEVENTEEN;"SEVENTEEN 1st Asia Tour ""Shining Diamond""";2016;8;Tailandia ;Bangkok;Muang Thai GMM Live House;3000;89,36 USD;163,83 USD
SEVENTEEN;"SEVENTEEN 1st Asia Tour ""Shining Diamond""";2016;8;Australia ;Melbourne;The Plenary ;5500;68,68 USD;145,00 USD
SEVENTEEN;"SEVENTEEN 1st Asia Tour ""Shining Diamond""";2016;8;Australia ;Sídney;Bog Top Sydney;2950;62,32 USD;138,64 USD
SEVENTEEN;"SEVENTEEN 1st Asia Tour ""Shining Diamond""";2016;8;Nueva Zelanda;Auckland;The Trusts Arena ;4901;52,33 USD;129,63 USD
SEVENTEEN;"SEVENTEEN 1st Asia Tour ""Shining Diamond""";2016;9;China ;Hong Kong;KITEC;3600;74,75 USD;255,17 USD
SEVENTEEN;"SEVENTEEN 1st Asia Tour ""Shining Diamond""";2016;9;Taiwán;Taipéi;ATT Show Box;2000;Sin datos;Sin datos
SEVENTEEN;"Japan Concert ""Say The Name""";2017;2;Japón;Kobe ;Kobe World Memorial Hall;8000;Sin datos;Sin datos
SEVENTEEN;"Japan Concert ""Say The Name""";2017;2;Japón;Yokohama;Yokohama Arena ;17000;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN 1st World Tour ""Diamond Edge""";2017;7;Corea del Sur;Seúl;Jamsil Auxiliary Stadium;2000;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN 1st World Tour ""Diamond Edge""";2017;7;Japón;Saitama;Saitama Super Arena;37000;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN 1st World Tour ""Diamond Edge""";2017;8;Tailandia ;Bangkok;Thunder Dome;15000;53,62 USD;143,00 USD
SEVENTEEN;"SEVENTEEN 1st World Tour ""Diamond Edge""";2017;8;China ;Hong Kong;Asia World Expo Hall 10;13500;74,75 USD;255,17 USD
SEVENTEEN;"SEVENTEEN 1st World Tour ""Diamond Edge""";2017;8;Estados Unidos;Chicago;Rosemont Theatre;4400;65,00 USD;215,00 USD
SEVENTEEN;"SEVENTEEN 1st World Tour ""Diamond Edge""";2017;8;Estados Unidos;Dallas;Verizon Theatre At Grand Praire;6350;65,00 USD;215,00 USD
SEVENTEEN;"SEVENTEEN 1st World Tour ""Diamond Edge""";2017;8;Canadá;Toronto;Massey Hall;2752;61,23 USD;208,91 USD
SEVENTEEN;"SEVENTEEN 1st World Tour ""Diamond Edge""";2017;8;Estados Unidos;Nueva York;Terminal 5;3000;65,00 USD;215,00 USD
SEVENTEEN;"SEVENTEEN 1st World Tour ""Diamond Edge""";2017;8;Chile;Santiago;Movistar Arena;16522;26,48 USD;105,90 USD
SEVENTEEN;"SEVENTEEN 1st World Tour ""Diamond Edge""";2017;9;Malasia;Kuala Lumpur;Stadium Negara;10000;47,84 USD;120,74 USD
SEVENTEEN;"SEVENTEEN 1st World Tour ""Diamond Edge""";2017;9;Indonesia;Yakarta;Ice Hall 3A;3000;53,41 USD;118,68 USD
SEVENTEEN;"SEVENTEEN 1st World Tour ""Diamond Edge""";2017;9;Singapur;Singapur;Suntec Singapore Convention & Exhibition Centre Hall;6850;89,61 USD;233,89 USD
SEVENTEEN;"SEVENTEEN 1st World Tour ""Diamond Edge""";2017;10;Taiwán;Taipéi;Xinzhuang Gymnasium;7125;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN 1st World Tour ""Diamond Edge""";2017;10;Filipinas;Manila ;Mall of Asia Arena;20000;17,68 USD;221,01 USD
SEVENTEEN;"SEVENTEEN Japan Arena Tour ""SVT"" ";2018;2;Japón;Yokohama;Yokohama Arena ;17000;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN Japan Arena Tour ""SVT"" ";2018;2;Japón;Osaka;Osaka Jo Hall;16000;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN Japan Arena Tour ""SVT"" ";2018;3;Japón;Nagoya;Nippon Gaishi Hall;10000;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN Concert ""Ideal Cut""";2018;6;Corea del Sur;Seúl;Jamsil Indoor Stadium;11069;69,36 USD;77,06 USD
SEVENTEEN;"SEVENTEEN Concert ""Ideal Cut""";2018;7;Corea del Sur;Seúl;Jamsil Indoor Stadium;11069;69,36 USD;77,06 USD
SEVENTEEN;"SEVENTEEN Concert ""Ideal Cut""";2018;8;China ;Hong Kong;Asia World Expo Arena;12500;61,86 USD;255,16 USD
SEVENTEEN;"SEVENTEEN Concert ""Ideal Cut""";2018;9;Japón;Saitama;Saitama Super Arena;37000;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN Concert ""Ideal Cut""";2018;9;Indonesia;Yakarta;Ice Hall 3A;3000;59,34 USD;142,41 USD
SEVENTEEN;"SEVENTEEN Concert ""Ideal Cut""";2018;9;Singapur;Singapur;Singapour Indoor Stadium;12000;74,42 USD;218,70 USD
SEVENTEEN;"SEVENTEEN Concert ""Ideal Cut""";2018;9;Malasia;Kuala Lumpur;Mines International Exhibition & Convention Centre;10000;22,32 USD;111,17 USD
SEVENTEEN;"SEVENTEEN Concert ""Ideal Cut""";2018;10;Filipinas;Manila ;Mall of Asia Arena;20000;26,52 USD;221,01 USD
SEVENTEEN;"SEVENTEEN Concert ""Ideal Cut""";2018;10;Taiwán;Taipéi;Xinzhuang Gymnasium;7125;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN Japan Tour ""Haru"" ";2019;4;Japón;Fukoaka;Marine Messe Fukuoka;15000;26,55 USD;74,89 USD
SEVENTEEN;"SEVENTEEN Japan Tour ""Haru"" ";2019;4;Japón;Shizuoka;Shizuoka Ecopa Arena;10000;26,55 USD;74,89 USD
SEVENTEEN;"SEVENTEEN Japan Tour ""Haru"" ";2019;4;Japón;Saitama;Saitama Super Arena;37000;26,55 USD;74,89 USD
SEVENTEEN;"SEVENTEEN Japan Tour ""Haru"" ";2019;4;Japón;Tokio;Makuhari Messe Internacional Exhibition Hall 9;9000;26,55 USD;74,89 USD
SEVENTEEN;"SEVENTEEN Japan Tour ""Haru"" ";2019;4;Japón;Osaka;Osaka Jo Hall;16000;26,55 USD;74,89 USD
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2019;8;Corea del Sur;Seúl;Olympic Park Kespo Dome;15000;84,76 USD;84,76 USD
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2019;9;Corea del Sur;Seúl;Olympic Park Kespo Dome;15000;84,76 USD;84,76 USD
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2019;10;Japón;Osaka;Osaka Jo Hall;16000;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2019;10;Japón;Aichi;Aichi Sky Expo Hall A;6500;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2019;10;Japón;Yokohama;Yokohama Arena ;17000;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2019;11;Japón;Makuhari;Makuhari Messe International Exhibition Hall 4-6;9000;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2019;11;Indonesia;Yakarta;Istora Senayan Jakarta;15000;59,34 USD;148,34 USD
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2019;11;Tailandia ;Bangkok;Thunder Dome;15000;74,47 USD;172,77 USD
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2020;1;Estados Unidos;New Jersey;Prudential Center Newark NJ;16755;55,00 USD;425,00 USD
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2020;1;Estados Unidos;Chicago;United Center;23500;55,00 USD;425,00 USD
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2020;1;Estados Unidos;Dallas;Toyota Music Factory;8000;55,00 USD;425,00 USD
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2020;1;Estados Unidos;Houston;Smart Financial Centre;6400;55,00 USD;425,00 USD
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2020;1;México;Ciudad de México;Palacio de los Deportes;26000;45,32 USD;185,85 USD
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2020;1;Estados Unidos;Los Ángeles;The Forum;17505;55,00 USD;425,00 USD
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2020;1;Estados Unidos;San José;SAP Center;17562;55,00 USD;425,00 USD
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2020;1;Estados Unidos;Seattle;ShoWare Center ;6500;55,00 USD;425,00 USD
SEVENTEEN;"SEVENTEEN World Tour ""Ode To You""";2020;1;Filipinas;Manila ;Mall of Asia Arena;20000;35,37 USD;265,25 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;6;Corea del Sur;Seúl;Gocheok Sky Dome;16744;92,46 USD;115,58 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;8;Canadá;Vancouver;Rogers Arena ;19700;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;8;Estados Unidos;Seattle;Climate Pledge Arena;18300;59,50 USD;449,50 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;8;Estados Unidos;Oakland;Oakland Arena;19200;59,50 USD;449,50 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;8;Estados Unidos;Los Ángeles;The Kia Forum;17505;59,50 USD;449,50 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;8;Estados Unidos;Houston;Toyota Center;19000;59,50 USD;449,50 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;8;Estados Unidos;Fort Worth;Dickies Arena ;14000;59,50 USD;449,50 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;8;Estados Unidos;Chicago;United Center;23500;59,50 USD;449,50 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;8;Estados Unidos;Washington;Capital One Arena;20356;59,50 USD;449,50 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;8;Estados Unidos;Atlanta;State Farm Arena;16888;59,50 USD;449,50 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;9;Estados Unidos;Belmont Park;UBS Arena;19000;59,50 USD;449,50 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;9;Canadá;Toronto;Scotiabank Arena ;19800;57,30 USD;143,80 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;9;Estados Unidos;Newark;Prudential Center ;16755;59,50 USD;449,50 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;9;Indonesia;Jakarta;Indonesia Convention Exhibition ;10000;65,27 USD;213,61 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;10;Tailandia ;Bangkok;Impact Challeger Hall;11000;50,00 USD;175,00 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;10;Filipinas;Manila ;Mall of Asia Arena;20000;51,30 USD;326,38 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;10;Singapur;Singapur;Singapour Indoor Stadium;12000;142,87 USD;264,46 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;11;Japón;Osaka;Kyocera Dome Osaka;55000;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;11;Japón;Tokio;Tokyo Dome;55000;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;12;Japón;Aichi;Vantelin Dome Nagoya;50619;Sin datos;Sin datos
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;12;Filipinas;Bucalán;Philippine Arena;55000;32,73 USD;326,40 USD
SEVENTEEN;"SEVENTEEN World Tour ""Be The Sun""";2022;12;Indonesia;Jakarta;Gelora Bung Karno Madya Stadium;20000;65,27 USD;213,61 USD
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;7;Corea del Sur;Seúl;Gocheok Sky Dome;16744;117,00 USD;150,00 USD
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;9;Japón;Tokio;Tokyo Dome;55000;104,86 USD;167,77 USD
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;11;Japón;Saitama;Belluna Dome;31552;104,86 USD;167,77 USD
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;11;Japón;Aichi;Vantelin Dome Nagoya;50619;104,86 USD;167,77 USD
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;12;Japón;Aichi;Vantelin Dome Nagoya;50619;104,86 USD;167,77 USD
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;12;Japón;Osaka;Kyocera Dome Osaka;55000;104,86 USD;167,77 USD
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;12;Japón;Fukoaka;Fukuoka Paypay Dome;47500;104,86 USD;167,77 USD
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2023;12;Tailandia ;Bangkok;Rajamangala National Stadium;51552;74,50 USD;295,01 USD
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2024;1;Filipinas;Bucalán;Philippine Sports Stadium;20000;80,00 USD;335,00 USD
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2024;1;China ;Macao;Olympic Sports Center Stadium;102,97;102,97 USD;347,82 USD
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2024;3;Corea del Sur;Incheon;Incheon Asiad Main Stadium;30000;100,00 USD;150,00 USD
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2024;4;Corea del Sur;Seúl;Seoul World Cup Stadium;66704;92,46 USD;138,69 USD
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2024;5;Japón;Osaka;Yanmar Stadium Nagai;47816;104,86 USD;188,75 USD
SEVENTEEN;"SEVENTEEN Tour ""Follow"" ";2024;5;Japón;Kanagawa;Nissan Stadium;69143;104,86 USD;188,75 USD
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;10;Corea del Sur;Goyang;Goyang Stadium;44311;92,48 USD;138,71 USD
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;10;Estados Unidos;Rosemont;Allstate Arena;16272;60,00 USD;550,00 USD
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;10;Estados Unidos;Belmont Park;UBS Arena;19000;80,00 USD;550,00 USD
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;10;Estados Unidos;San Antonio;Frost Bank Center;19000;60,00 USD;550,00 USD
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;11;Estados Unidos;Oakland;Oakland Arena;19200;85,00 USD;550,00 USD
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;11;Estados Unidos;Los Ángeles;BMO Stadium ;22000;80,00 USD;550,00 USD
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;11;Japón;Nagoya;Vantelin Dome ;50619;118,79 USD;174,69 USD
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;12;Japón;Tokio;Tokyo Dome;55000;118,79 USD;174,69 USD
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;12;Japón;Osaka;Kyocera Dome Osaka;55000;118,79 USD;174,69 USD
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2024;12;Japón;Fukoaka;Mizuho Paypay Dome;47500;118,79 USD;174,69 USD
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2025;1;Singapur;Singapur;National Stadium;55000;127,69 USD;294,90 USD
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2025;2;Japón;Jakarta;Jakarta International Stadium;82000;118,79 USD;174,69 USD
SEVENTEEN;"SEVENTEEN ""RIGHT HERE"" WORLD TOUR";2025;2;Tailandia ;Bangkok;Rajamangala National Stadium;51552;83,41 USD;277,02 USD
