GRUPO;NOMBRE TOUR;AÑO ;MES ;PAÍS;CIUDAD ;RECINTO;CAPACIDAD;ENTRADA MÁS BARATA;ENTRADA MÁS CARA
BTS;"BTS Live ""The Most Beautiful Moment In Life On Stage: Epilogue""";2016;8;Tailandia ;Bangkok;Indoor Stadium ;15000;54,00 USD;173,99 USD
BTS;"BTS Live ""The Most Beautiful Moment In Life On Stage: Epilogue""";2016;8;Japón;Tokio;Yoyogi National Gymnasium ;13291;Sin datos;Sin datos
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;2;Corea del Sur;Seúl;Gocheok Sky Dome;16744;Sin datos;Sin datos
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;3;Chile ;Santiago ;Movistar Arena ;16522;29,73 USD;166,47 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;3;Brasil ;Sao Paulo ;City Bank Hall;8500;10,33 USD;111,93 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;3;Estados Unidos ;Nueva York ;Prudential Center ;16755;50,00 USD;250,00 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;3;Estados Unidos ;Chicago;Allstate Arena ;18500;50,00 USD;250,00 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;4;Estados Unidos ;California ;Honda Center;18336;50,00 USD;250,00 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;4;Tailandia ;Bangkok;Impact Arena ;12000;54,36 USD;181,20 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;4;Indonesia ;Yakarta;Indonesia Convention Exhibition;10000;59,44 USD;178,32 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;5;Filipinas ;Manila ;Mall Of Asia Center;15000;17,66 USD;185,48 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;5;China ;Hong Kong ;Asia World Expo Arena ;14000;74,75 USD;216,51 USD
