TIPO DE EVENTO,AÑO,MES,PAÍS,CIUDAD,RECINTO,CAPACIDAD,ENTRADA MÁS BARATA,ENTRADA MÁS CARA ,NOMBRE GIRA
Concierto,2013,12,Japón,Tokyo,Yoyogi National Gymnasium,"13,291",82 US$,,"The 2nd Japan Arena Tour SHINee World ""Boys Meet U"""
Conciertos Participativos,2013,10,China,Pekín,Beijing National Stadium,80000,,,SMTown Live World Tour III
Conciertos Participativos,2013,10,Japón,Tokyo,Tokyo Dome,55000,,,SMTown Live World Tour III
Conciertos Participativos,2013,4,Taiwán,Taipei,Taipei Arena,15000,,,Mnet M! Countdown in Taiwan
Concierto,2014,3,Corea del Sur,Seúl,Olympic Gymnastics Arena,15000,100 US$,,"SHINee Concert ""SHINee World III"""
Concierto,2014,4,México,Ciudad de México,Mexico Arena,22300,,,"SHINee Concert ""SHINee World III"""
Concierto,2014,4,Chile,Santiago de Chile,Movistar Arena,16522,18 US$,117 US$,"SHINee Concert ""SHINee World III"""
Concierto,2014,4,Argentina,Buenos Aires,Luna Park Arena,8400,,,"SHINee Concert ""SHINee World III"""
Concierto,2014,5,Taiwán,Taipei,Xinzhuang Gymnasium,7125,,,"SHINee Concert ""SHINee World III"""
Concierto,2014,6,China,Shangai,Shangai Indoor Stadium,13000,,,"SHINee Concert ""SHINee World III"""
Concierto,2014,6,Indonesia,Jakarta,Mata Elang International Stadium,20053,,,"SHINee Concert ""SHINee World III"""
Concierto,2014,9,Japón,Ichihara,Chiba Civic Center,1000,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,9,Japón,Shizouka,Shizouka Citizen Culture Center,1513,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,10,Japón,Gunma,Gunma Prefecture Hall,1994,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,10,Japón,Tochigi,Utsunomiya Cultural Center,2000,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,10,Japón,Oita,Prefecture Cultural Center,4500,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,10,Japón,Nagasaki,Nagasaki Brick Hall,2002,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,10,Japón,Nagano,Nagano Min Culture Hall,606,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,10,Japón,Ishikawa,Hokoriku Electric Power Hall,8058,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,10,Japón,Mie,Mie Prefecture Culture Hall,11000,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,10,Japón,Shizouka,Shingon Hamamatsu Act City,,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,10,Japón,Saitama,Saitama Super Arena,365000,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,10,Japón,Kurashiki,Okayama Civic Center,,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,11,Japón,Hiroshima,Hiroshima Green Arena,10000,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,11,Japón,Niigata,Toki Messe,10000,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,11,Japón,Nagova,Nihon Kaishi Hall,14471,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
